p,rho,Method,Estimator&Signal,Average MSE
10,0.0,AIC,Adaptive Lasso Sparse,0.028903960317075716
10,0.0,BIC,Adaptive Lasso Sparse,0.030270764001891336
10,0.0,LOO-CV,Adaptive Lasso Sparse,0.028152115967034902
10,0.25,AIC,Adaptive Lasso Sparse,0.04161193924525888
10,0.25,BIC,Adaptive Lasso Sparse,0.04324451397727686
10,0.25,LOO-CV,Adaptive Lasso Sparse,0.04041414840669128
10,0.5,AIC,Adaptive Lasso Sparse,0.05991049289160909
10,0.5,BIC,Adaptive Lasso Sparse,0.062093490995061326
10,0.5,LOO-CV,Adaptive Lasso Sparse,0.05800851480176078
25,0.0,AIC,Adaptive Lasso Sparse,0.04008790799873899
25,0.0,BIC,Adaptive Lasso Sparse,0.04602742054451062
25,0.0,LOO-CV,Adaptive Lasso Sparse,0.03553011671026563
25,0.25,AIC,Adaptive Lasso Sparse,0.06105624006282663
25,0.25,BIC,Adaptive Lasso Sparse,0.06913259253757056
25,0.25,LOO-CV,Adaptive Lasso Sparse,0.0533917023695676
25,0.5,AIC,Adaptive Lasso Sparse,0.09565932025405678
25,0.5,BIC,Adaptive Lasso Sparse,0.1055349418287193
25,0.5,LOO-CV,Adaptive Lasso Sparse,0.08273998362069888
50,0.0,AIC,Adaptive Lasso Sparse,0.04755009732672948
50,0.0,BIC,Adaptive Lasso Sparse,0.06201434180641784
50,0.0,LOO-CV,Adaptive Lasso Sparse,0.03204551744426789
50,0.25,AIC,Adaptive Lasso Sparse,0.07566763768740563
50,0.25,BIC,Adaptive Lasso Sparse,0.09619480461433583
50,0.25,LOO-CV,Adaptive Lasso Sparse,0.049593235787215764
50,0.5,AIC,Adaptive Lasso Sparse,0.12504252110992808
50,0.5,BIC,Adaptive Lasso Sparse,0.15135731842003022
50,0.5,LOO-CV,Adaptive Lasso Sparse,0.07955634976819524
